Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
DJ066925,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,156,GenBank,partial,,,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus
DJ066932,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,157,GenBank,partial,,,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus
DJ011647,2007-10-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1269,GenBank,partial,,,"Kosutorikisu,R.G.",,,,,,,MULTI-ALLELIC MOLECULAR DETECTION OF SARS-ASSOCIATED CORONAVIRUS
DJ011587,2007-10-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,3768,GenBank,partial,,,"Kosutorikisu,R.G.",,,,,,,MULTI-ALLELIC MOLECULAR DETECTION OF SARS-ASSOCIATED CORONAVIRUS
DJ011602,2007-10-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,231,GenBank,partial,,,"Kosutorikisu,R.G.",,,,,,,MULTI-ALLELIC MOLECULAR DETECTION OF SARS-ASSOCIATED CORONAVIRUS
DJ011632,2007-10-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,675,GenBank,partial,,,"Kosutorikisu,R.G.",,,,,,,MULTI-ALLELIC MOLECULAR DETECTION OF SARS-ASSOCIATED CORONAVIRUS
CS500234,2007-04-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1269,GenBank,partial,,,"Burt,D.S., Reddish,M.A., Hu,M.C., Lowell,G.H., Jones,D.H.",,,,,,,Sequence 52 from Patent WO2006068663
CS406442,2006-09-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,3768,GenBank,partial,,,"Kew,O.M., Burns,C.C., Shaw,J., Campagnoli,R., Quay,J.",,,,,,,Sequence 12 from Patent WO2006042156
CS148330,2005-08-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,3768,GenBank,partial,,,"Sachdeva,G., Kumar,K., Jain,P., Brahmachari,S.K., Ramachandran,S.",,,,,,,Sequence 653 from Patent WO2005076010
CS050814,2005-03-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,3768,GenBank,partial,,,"Kostrikis,L.G.",,,,,,,Sequence 7 from Patent WO2005021798
CS050829,2005-03-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,231,GenBank,partial,,,"Kostrikis,L.G.",,,,,,,Sequence 22 from Patent WO2005021798
CS050859,2005-03-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,675,GenBank,partial,,,"Kostrikis,L.G.",,,,,,,Sequence 52 from Patent WO2005021798
CS050874,2005-03-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1269,GenBank,partial,,,"Kostrikis,L.G.",,,,,,,Sequence 67 from Patent WO2005021798
AY444813,2003-12-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,369,GenBank,partial,,,"He,X., Xu,L., Liu,Y., Zeng,Y.",,,,,,,"SARS coronavirus Urbani ORF8 protein gene, complete cds"
AY278741,2003-04-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,complete,,,"Rota,P.A., Oberste,M.S., Monroe,S.S., Nix,W.A., Campagnoli,R., Icenogle,J.P., Penaranda,S., Bankamp,B., Maher,K., Chen,M.H., Tong,S., Tamin,A., Lowe,L., Frace,M., DeRisi,J.L., Chen,Q., Wang,D., Erdman,D.D., Peret,T.C., Burns,C., Ksiazek,T.G., Rollin,P.E., Sanchez,A., Liffick,S., Holloway,B., Limor,J., McCaustland,K., Olsen-Rasmussen,M., Fouchier,R., Gunther,S., Osterhaus,A.D., Drosten,C., Pallansch,M.A., Anderson,L.J., Bellini,W.J., Campagnoli,R.P.",12730500,,,,,,"SARS coronavirus Urbani, complete genome"
